id,movieName,movieImage,movieLink,create_at,updated_at,mostViewed
00039efa-795e-4f02-be3d-d6e5b78ed14b,شارلوك هولمز 2,https://i.imgur.com/uFQ5TYq.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/sherlock_holmes_s4.mp4,2024-08-22 20:42:30.116213+00,2024-08-22 20:42:30.116213+00,false
0003b5f8-2dbe-4fc2-b260-68c657b89857,كونغ فو باندا:اسرار التمرير,https://i.imgur.com/EIvytw9.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/kung_fu_panda_secrets_scroll.mp4,2024-08-21 11:22:10.285446+00,2024-08-21 11:22:10.285446+00,false
000740d8-f15f-4c38-8c90-637112e5aea6,النبيلة والشارد الجزء 2,https://i.imgur.com/CAg0v7U.png,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/lady_and_the_tramp_s2.mp4,2024-08-22 20:26:44.671836+00,2024-08-22 20:26:44.671836+00,false
000a4373-e7c4-4a1b-8ba9-e8b372972872,مرحباً يا ألبرتو,https://i.imgur.com/BVRHQ8B.jpeg,https://zidwish.site/e/kme40eyxu8b3,2024-08-31 17:07:00.555171+00,2024-08-31 17:07:00.555171+00,false
000c5a8e-268c-44d6-ae73-73930e03631d,الفار الطباخ,https://i.imgur.com/oTSdlHj.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/ratatouille.mp4,2024-08-17 10:21:36.683752+00,2024-08-17 10:21:36.683752+00,false
000cbd71-d1ca-4ac3-8ef6-dbdcc3c138c4,سنجب وسنجوب: رحلة إنقاذ صديق,https://i.imgur.com/grLDXL5.jpeg,"https://uqload.ws/embed-nl7t19sng87u.html ",2024-08-31 17:12:40.876826+00,2024-08-31 17:12:40.876826+00,true
000fd3b6-3514-4885-ad65-91dbb37daf4a,المحقق كونان الفيلم الاول,https://i.imgur.com/WjhTsXo.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/conan_film_01.mp4,2024-08-30 17:54:41.738829+00,2024-08-30 17:54:41.738829+00,false
0011ad24-5491-47de-bd82-fd1c6ba6842d,حول العالم مع تيمون وبومبا,https://i.imgur.com/Aip9Cew.jpeg,https://wsxe.viidshar.com/embed-fy3wx3d39aw4.html,2024-08-31 09:29:57.795608+00,2024-08-31 09:29:57.795608+00,false
00157134-fc6b-40f8-9035-0997e511a03b,انستازيا,https://i.imgur.com/lYtkh3Q.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/anastasia.mp4,2024-08-22 00:13:16.847076+00,2024-08-22 00:13:16.847076+00,false
0018a520-505d-46a2-8f43-a88f325182ba,محطات مسار البطريق,https://i.imgur.com/Ce2Qp9h.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/penguin_highway.mp4,2024-08-21 11:06:00.5807+00,2024-08-21 11:06:00.5807+00,false
001a1cb5-8baa-409e-9623-94c3c34ef1ef,مغامرات بندق,https://i.imgur.com/eNZGbRR.jpeg,https://zidwish.site/e/ys7y9ezwgavu,2024-08-31 15:24:57.865652+00,2024-08-31 15:24:57.865652+00,false
001a1f63-cffe-4811-a86e-815a35c506c9,البحث عن نيمو,https://i.imgur.com/VBkUvOd.jpeg,"https://zidwish.site/e/9u0unjx6hxsa ",2024-08-31 17:38:47.112266+00,2024-08-31 17:38:47.112266+00,true
001cc1ad-2d63-4c44-8932-58928c285a70,بامبي الجزء 2,https://i.imgur.com/jUvBeZB.jpeg,https://f78410.asd-dl.store/d/niqe3znrfsrnuwfu756j5m7vw7tz5ahmo6ke626zbugyd5mt5ireumlpcgnwmlgowa2rv7ek/video.mp4,2024-08-21 20:15:50.077414+00,2024-08-21 20:15:50.077414+00,true
001d4d12-e6cd-4f5c-9240-3f5c6bf2a5bc,بامبي الجزء 2,https://i.imgur.com/jUvBeZB.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/bambi_s2.mp4,2024-08-21 20:15:50.077414+00,2024-08-21 20:15:50.077414+00,true
001dc885-ce31-4e84-bb5f-0e7a14b2553f,العصر الجليدي الجزء 2,https://i.imgur.com/eLxKZF5.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/ice_age_s2.mp4,2024-08-22 08:37:18.895008+00,2024-08-22 08:37:18.895008+00,false
001fc959-7be6-451d-bd2d-ca6aadd54a32,الضئيل,https://i.imgur.com/h58sqZL.jpeg,https://zidwish.site/e/xrgoz2ebjyiz,2024-09-01 10:06:44.554083+00,2024-09-01 10:06:44.554083+00,true
0021ed99-fc1a-4a48-83b3-32e269bbf459,ركوب الامواج,https://i.imgur.com/BJqVXFt.jpeg,https://aflam-cdn-cash-26-rty.dialymotion.online/yh5cbptypxikjnl75zpkrkbzv3xaenmxqyua7l6z44w2dpiyo33pe4cuwfga/v.mp4,2024-09-01 12:00:58.772837+00,2024-09-01 12:00:58.772837+00,true
0021ef79-4738-41ee-b5c3-ed2faf6c2994,ذئب الجبل الأبيض,https://i.imgur.com/NQHvjMz.jpeg,http://so2.downet.net/dl/1726628644/Deab.Al.Gabal.Al.Abead.akoam.net.mkv,2024-08-22 21:43:40.473556+00,2024-08-22 21:43:40.473556+00,false
00263cfe-74bb-4027-b4b7-c94465a538f8,ذئب الجبل الأبيض,https://i.imgur.com/NQHvjMz.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/deab_algabal_al2bead.mp4,2024-08-22 21:43:40.473556+00,2024-08-22 21:43:40.473556+00,false
002f3126-51fc-429d-948a-2aac51bc85f9,سيارات الجزء 1,https://i.imgur.com/f6RkJL0.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/cars_1.mp4,2024-08-21 19:10:14.179034+00,2024-08-21 19:10:14.179034+00,false
00341517-237b-4689-913d-56800e690f2f,مغامرة في بلاد العجائب,https://i.imgur.com/pi3jmPU.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/the_wonderland.mp4,2024-08-21 12:36:02.107062+00,2024-08-21 12:36:02.107062+00,false
0034fea1-0640-45b5-b067-28bf02293774,مغامرة أولاف الثلجية,https://i.imgur.com/VTTfQ8B.jpeg,https://vidhide-t4an.store/v/ud6i47qf9t3i,2024-08-31 09:45:29.454443+00,2024-08-31 09:45:29.454443+00,false
00357bce-3a42-46a1-8403-a2fe73e3dcda,النحلة,https://i.imgur.com/B2L3IlA.jpeg,"https://zidwish.site/e/8351x17utfo5 ",2024-09-01 11:50:13.19056+00,2024-09-01 11:50:13.19056+00,true
0036a5e9-4e4e-4b88-9da6-0272cbc92106,فيفو,https://i.imgur.com/prnBDW5.jpeg,"https://zidwish.site/e/xokfg3b70ikf ",2024-09-01 11:54:32.609739+00,2024-09-01 11:54:32.609739+00,false
00386dcd-898e-4f76-81ee-b5bb8f30e0e8,ابنة البحر,https://i.imgur.com/ynQzJgi.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/ibnat_albahr.mp4,2024-08-22 20:47:59.155486+00,2024-08-22 20:47:59.155486+00,false
003a0922-9a2c-4a7a-845f-f57840f1e2b9,مولان 1998,https://i.imgur.com/jSpsNYh.jpeg,"https://zidwish.site/e/cfk5u6mmxagg ",2024-09-01 10:48:07.618147+00,2024-09-01 10:48:07.618147+00,false
003a255d-3f02-427a-bf54-455a448567c3,الأمل,https://i.imgur.com/KHemetR.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/al2ml.mp4,2024-08-30 18:13:07.986736+00,2024-08-30 18:13:07.986736+00,false
003be52f-4823-4632-98dc-45384f75b11e,موانا,https://i.imgur.com/KEu7aCK.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/moana.mp4,2024-08-21 20:49:12.149554+00,2024-08-21 20:49:12.149554+00,false
003c09fb-332c-472f-8154-21c75d500d75,الأسد الملك الجزء 1,https://i.imgur.com/CbMFtJq.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/the_lion_king_s1.mp4,2024-08-30 17:47:58.404165+00,2024-08-30 17:47:58.404165+00,false
003f1699-0888-4398-ac5f-95bb05e9a9be,بوكيمون اسرار الادغال,https://i.imgur.com/bwT0Sgf.png,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/pokemon_secrets_jungle.mp4,2024-08-21 18:02:51.430462+00,2024-08-21 18:02:51.430462+00,true
003f2684-3401-4b88-b908-e7f2fb8a44c9,علاء الدين والمصباح السحري,https://i.imgur.com/DeO33lx.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/aladdin.mp4,2024-08-22 20:53:11.807826+00,2024-08-22 20:53:11.807826+00,false
0041617e-1b76-412e-8705-a32cdbcf241d,مغامرة ذاتية,https://i.imgur.com/nSMNX2y.jpeg,https://zidwish.site/e/ees2q642i8c0,2024-08-31 09:22:20.960047+00,2024-08-31 09:22:20.960047+00,false
0043e328-d79e-49de-873b-ebbd28eb0aac,شارلوك هولمز 1,https://i.imgur.com/7YDjAaO.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/sherlock_holmes_s3.mp4,2024-08-22 20:41:06.172088+00,2024-08-22 20:41:06.172088+00,false
004b7ff5-eb5c-4eed-94e6-03fc59ce9f0c,زعيم الغابة,https://i.imgur.com/OtoOcMm.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/the_jungle_king.mp4,2024-08-22 00:12:11.323529+00,2024-08-22 00:12:11.323529+00,false
004c0235-b609-40d8-b623-b357384325a3,بينوكيو,https://i.imgur.com/hfHVdSo.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/pinocchio.mp4,2024-08-22 20:24:25.836733+00,2024-08-22 20:24:25.836733+00,false
004c63fb-1a9f-45a6-bce3-add879a98d4d,طرزان وجين,https://i.imgur.com/gdsn2f1.jpeg,"https://zidwish.site/e/xnt0pu5osmvp ",2024-08-31 09:51:17.23417+00,2024-08-31 09:51:17.23417+00,false
004dc09c-6008-4e8f-ab65-2b6dd2f80d18,المحقق كونان الفيلم الثاني,https://i.imgur.com/7RJL9mv.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/conan_film_02.mp4,2024-08-30 17:55:21.088431+00,2024-08-30 17:55:21.088431+00,false
00519054-beb4-4df6-9f01-c200ea8f4fb8,سيارات الجزء 2,https://i.imgur.com/am9DA4s.png,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/cars_2.mp4,2024-08-21 19:13:27.208841+00,2024-08-21 19:13:27.208841+00,true
0056ed19-d6f0-42ad-802d-263f733c521e,الحياة السرية للحيوانات الأليفة الجزء 2,https://i.imgur.com/qs9YsQD.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/the_secret_life_of_pets_s2.mp4,2024-08-22 00:20:13.270773+00,2024-08-22 00:20:13.270773+00,false
00577eb2-da93-4c5d-8cc4-bf57fc6a2a2b,ميكي وبطوط وبندق,https://i.imgur.com/nfiADQv.jpeg,https://zidwish.site/e/hpwiw3d96lxj,2024-08-31 15:18:50.551293+00,2024-08-31 15:18:50.551293+00,false
005ae9d2-1637-4e3a-9e80-4ce4a50cd52c,تنين الأماني,https://i.imgur.com/bXjnq3W.jpeg,https://zidwish.site/e/vryp97916u6b,2024-09-01 11:48:04.267742+00,2024-09-01 11:48:04.267742+00,false
005f4ee7-e7de-43e0-a575-3bfc3fc03b8a,طائرات حرائق وإنقاذ,https://i.imgur.com/87U0zc5.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/planes_fire_and_rescue.mp4,2024-08-22 20:36:38.524414+00,2024-08-22 20:36:38.524414+00,false
005fe29e-b4ff-4046-8382-a9fe5ece5df6,الحياة السرية للحيوانات الأليفة الجزء 1,https://i.imgur.com/aRv9x1r.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/the_secret_life_of_pets.mp4,2024-08-21 20:37:18.12286+00,2024-08-21 20:37:18.12286+00,false
00628945-e520-46c8-a8ac-68e5b67e964c,لوراكس,https://i.imgur.com/CuEUlR3.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/the_lorax.mp4,2024-08-21 11:36:13.034993+00,2024-08-21 11:36:13.034993+00,false
0065db73-862c-4ce8-aa11-23413d3cfecc,فروج القله,https://i.imgur.com/6racKai.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/chicken_little.mp4,2024-08-22 21:36:55.422435+00,2024-08-22 21:36:55.422435+00,false
00699fc7-dcdd-4cb2-8da4-ee2a12237745,سبونج بوب يلوذ بالفرار,https://i.imgur.com/NqpicsI.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/spongebob_2020.mp4,2024-08-21 16:56:20.083574+00,2024-08-21 16:56:20.083574+00,true
006f1648-6bf2-40dd-be1e-f19e715286e7,المغامرة النمورية,https://i.imgur.com/OTNobFu.jpeg,https://uqload.ws/embed-057whpclfn7b.html,2024-08-31 09:56:06.358702+00,2024-08-31 09:56:06.358702+00,false
007180ad-0b33-4e27-95d3-7f378f98af5d,رابونزل 1,https://i.imgur.com/f2wnjiP.png,https://zidwish.site/e/2r1zscj9ahbv,2024-08-16 18:19:08.381584+00,2024-08-16 18:19:08.381584+00,true
