id,songName,songImage,songLink,created_at,updated_at
1611,"""Aslan Hürkuş 3: Anka Adası"" Sinemalarda | Film Şarkısı (Klip)",https://i.ytimg.com/vi/8mp4Q_n-uoc/maxresdefault.jpg,https://www.youtube.com/watch?v=8mp4Q_n-uoc,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1614,"""İbi Doğu Ekspresi'nin Gizemi"" Film Şarkısı (Klip)",https://i.ytimg.com/vi/AAcd_zFs1xg/maxresdefault.jpg,https://www.youtube.com/watch?v=AAcd_zFs1xg,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1616,"""Kare Takımı Gizemli Ada"" Çocuk Şarkısı (Klip) | 29 Eylül'de Sinemalarda!",https://i.ytimg.com/vi/2Qvuepbbro0/maxresdefault.jpg,https://www.youtube.com/watch?v=2Qvuepbbro0,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1580,"""Pırıl Sayıların Gizemi"" Film Şarkısı | Karaoke Versiyon | KLİP",https://i.ytimg.com/vi/76qhmcANum0/maxresdefault.jpg,https://www.youtube.com/watch?v=76qhmcANum0,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
81,☀️Günaydın Şarkısı | Eğlenceli Çocuk Şarkısı,https://i.ytimg.com/vi/JJdjqe6O75g/maxresdefault.jpg,https://www.youtube.com/watch?v=JJdjqe6O75g,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1027,❤️ Kırmızı Balık ❤️ ve 31 dk Sevimli Dostlar Bebek Şarkıları | Çocuk Şarkıları | Adisebaba TV,https://i.ytimg.com/vi/EfxfQ4Jhg4k/maxresdefault.jpg,https://www.youtube.com/watch?v=EfxfQ4Jhg4k,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1423,❤️ Zorba Olma Arkadaşına! ❤️ (YENİ) | Bebek Şarkıları 2022 | Çocuk Şarkıları 2022 | Sevimli Dostlar,https://i.ytimg.com/vi/gWXJjwgB1To/maxresdefault.jpg,https://www.youtube.com/watch?v=gWXJjwgB1To,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1177,❤️Kırmızı Balık Gölde şarkısı dinle 👶🏻#SevimliDostlar Bebek Şarkıları 👶🏻❤️,https://i.ytimg.com/vi/SPD8yiSRh04/maxresdefault.jpg,https://www.youtube.com/watch?v=SPD8yiSRh04,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1025,❤️🐓 Küçük Kırmızı Tavuk 🐓❤️ ve 23 dk Sevimli Dostlar Bebek Şarkıları | Çocuk Şarkıları | Adisebaba,https://i.ytimg.com/vi/oXzqYsmT34k/maxresdefault.jpg,https://www.youtube.com/watch?v=oXzqYsmT34k,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1030,⛺ Kamp Zamanı 🏕️ ve 30 dk Sevimli Dostlar Bebek Şarkıları | Çocuk Şarkıları | Adisebaba TV,https://i.ytimg.com/vi/mY2PhKmQv7o/maxresdefault.jpg,https://www.youtube.com/watch?v=mY2PhKmQv7o,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
483,⛱️ Yaz ve Kış ⛄ | Eğlenceli Ve Öğretici Çocuk Şarkıları | Little Angel Türkçe,https://i.ytimg.com/vi/z8yQ3JM6nI8/maxresdefault.jpg,https://www.youtube.com/watch?v=z8yQ3JM6nI8,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
2100,⭐ Bir Tatlı Uyku 🌜+ Daha Fazla Çocuk Şarkısı ve Çocuk Tekerlemeleri | @BabyTVTR,https://i.ytimg.com/vi/RvqvQpwHlCY/maxresdefault.jpg,https://www.youtube.com/watch?v=RvqvQpwHlCY,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1407,"⭐️🌈👏🏼 Dans Et, Eğlen, Haydi Şimdi Alkışla ( YENİ ) | Bebek Şarkıları 2023 | Çocuk Şarkıları 2023",https://i.ytimg.com/vi/FkDt0XxdZTI/maxresdefault.jpg,https://www.youtube.com/watch?v=FkDt0XxdZTI,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1074,⭐️💜 Benimle Dans Et 💜⭐️ | Sevimli Dostlar | Bebek ve Çocuk Şarkıları | Adisebaba TV Nursery Rhymes,https://i.ytimg.com/vi/HEswPwQKupU/maxresdefault.jpg,https://www.youtube.com/watch?v=HEswPwQKupU,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1057,1 Nisan Şaka Yaptım 🎉 Sevimli Dostlar Bebek ve Çocuk Şarkıları | Adisebaba TV | Nursery Rhymes,https://i.ytimg.com/vi/4XAgNXSHeSQ/maxresdefault.jpg,https://www.youtube.com/watch?v=4XAgNXSHeSQ,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
800,1 Saat Kesintisiz Dandini Dandini Dastana | Uyutan Bebek Ninnisi,https://i.ytimg.com/vi/80B70PCl_9k/maxresdefault.jpg,https://www.youtube.com/watch?v=80B70PCl_9k,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
74,1 SAAT Pisi Pisi Pisi | Eğlenceli Bebek Şarkısı,https://i.ytimg.com/vi/SLrIjWWAXVw/maxresdefault.jpg,https://www.youtube.com/watch?v=SLrIjWWAXVw,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
2197,10 Küçük Aslancık | Saymayı Öğreniyoruz | Bebek Şarkıları | Çizgi Film,https://i.ytimg.com/vi/68dK1cWumTI/maxresdefault.jpg,https://www.youtube.com/watch?v=68dK1cWumTI,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
2192,10 Küçük Ayıcık | Çocuklar Şarkıları | Orman Hayvanları | Çizgi Film,https://i.ytimg.com/vi/XWyc80PanUQ/maxresdefault.jpg,https://www.youtube.com/watch?v=XWyc80PanUQ,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
768,10 Küçük Kedicik Oynuyormuş | Bebek Şarkısı,https://i.ytimg.com/vi/IMtr7B9UoVE/maxresdefault.jpg,https://www.youtube.com/watch?v=IMtr7B9UoVE,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
2184,10 Küçük Maymuncuk - Eğitici ve Eğlenceli Çocuk Şarkıları - Maymun Şarkısı - Çizgi Film,https://i.ytimg.com/vi/Xm0t_Y6W-SU/maxresdefault.jpg,https://www.youtube.com/watch?v=Xm0t_Y6W-SU,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
317,10 Küçük Ördek | CoComelon Türkçe | Çizgi Film | Bebek Şarkıları,https://i.ytimg.com/vi/zcJAlRLkfKo/maxresdefault.jpg,https://www.youtube.com/watch?v=zcJAlRLkfKo,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
652,10 Küçük Otobüs Şarkısı - Saymayı Öğreten Çocuk Şarkısı,https://i.ytimg.com/vi/AWiN3yxEm_s/sddefault.jpg,https://www.youtube.com/watch?v=AWiN3yxEm_s,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
296,10 Küçük Otobüs 🚌 | CoComelon Türkçe | Çizgi Film | Bebek Şarkıları,https://i.ytimg.com/vi/FSaOHs6aXig/maxresdefault.jpg,https://www.youtube.com/watch?v=FSaOHs6aXig,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
2157,10 Küçük Penguen - Çocuk Şarkıları - Çizgi Film,https://i.ytimg.com/vi/WeMXt3J6Qho/maxresdefault.jpg,https://www.youtube.com/watch?v=WeMXt3J6Qho,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
2199,10 Küçük Zebracık - Eğitici Çocuk Şarkıları - Zebra Şarkısı - Çizgi Film,https://i.ytimg.com/vi/EJQEzhpp3zs/maxresdefault.jpg,https://www.youtube.com/watch?v=EJQEzhpp3zs,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
710,10'a Kadar Sayı Saymayı Öğrenelim - Kafamda Bir Çilek Var!,https://i.ytimg.com/vi/XH6H0QzW1GI/maxresdefault.jpg,https://www.youtube.com/watch?v=XH6H0QzW1GI,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
433,12345 Balığı Canlı Yakalayınca 🐠 | Eğlenceli ve Öğretici Çocuk Şarkıları | Little Angel Türkçe,https://i.ytimg.com/vi/XRY7nmUmLyc/maxresdefault.jpg,https://www.youtube.com/watch?v=XRY7nmUmLyc,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1114,12345 şarkısı ile 30 dk Sevimli Dostlar Bebek Şarkıları | Adisebaba TV Nursery Rhymes,https://i.ytimg.com/vi/1rTLIhBp3Sw/maxresdefault.jpg,https://www.youtube.com/watch?v=1rTLIhBp3Sw,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
2208,23 Nisan Şarkısı 🇹🇷- Yaşasın 23 Nisan (YENİ) - Tombik Panda,https://i.ytimg.com/vi/Lgi8fP48qJQ/maxresdefault.jpg,https://www.youtube.com/watch?v=Lgi8fP48qJQ,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
2139,3 Kere aaa 3 Kere bbb - Alfabe Tekerlemesi - Nursery Rhymes - Alfabe Şarkısı - Çizgi Film,https://i.ytimg.com/vi/h1n1ySruIq4/maxresdefault.jpg,https://www.youtube.com/watch?v=h1n1ySruIq4,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
2181,3 Şarkı Bir Arada 🌞🍭🐻 Eğitici ve Eğlenceli Çocuk Şarkıları 🎻Çizgi Film 🎈,https://i.ytimg.com/vi/HvBudzXkI8A/maxresdefault.jpg,https://www.youtube.com/watch?v=HvBudzXkI8A,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
2160,45 Dakika Çocuk Şarkıları | Tombik Panda | Okul Öncesi Eğitici Şarkılar | Çizgi Film,https://i.ytimg.com/vi/FDWwuN203fs/maxresdefault.jpg,https://www.youtube.com/watch?v=FDWwuN203fs,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
730,5 Duyu Organı Şarkısı - Çoçuklar İçin Eğlenceli ve Öğretici Şarkılar,https://i.ytimg.com/vi/dEjjCuwX3iY/maxresdefault.jpg,https://www.youtube.com/watch?v=dEjjCuwX3iY,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1256,5 Duyu Şarkısı👂🏼👁️🖐🏼 | Sevimli Dostlar Bebek ve Çocuk Şarkıları | Adisebaba TV #sevimlidostlar,https://i.ytimg.com/vi/nSsZPTYz9fU/maxresdefault.jpg,https://www.youtube.com/watch?v=nSsZPTYz9fU,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
941,5 Duyu Şarkısı👂🏼👁️🖐🏼(YENİ) ve Sevimli Dostlar Bebek Şarkıları 2023 | Çocuk Şarkıları | Adisebaba TV,https://i.ytimg.com/vi/vKr9DZ0yVjg/maxresdefault.jpg,https://www.youtube.com/watch?v=vKr9DZ0yVjg,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
654,5 Küçük Araba Şarkısı - Eğlenceli Bebek Şarkıları,https://i.ytimg.com/vi/57VJOvZBVjE/maxresdefault.jpg,https://www.youtube.com/watch?v=57VJOvZBVjE,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
2162,5 Küçük Araba Şarkısı - Eğlenceli Bebek Şarkıları - Çizgi Film,https://i.ytimg.com/vi/Pvtd9k5vC4Y/maxresdefault.jpg,https://www.youtube.com/watch?v=Pvtd9k5vC4Y,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
80,5 Küçük Kurbağa | Sayıları Öğreten Çocuk Şarkısı,https://i.ytimg.com/vi/MJH8csrnOu8/maxresdefault.jpg,https://www.youtube.com/watch?v=MJH8csrnOu8,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
72,5 Küçük Kurbağacık | Sayı Saymayı Öğreten Çocuk Şarkısı,https://i.ytimg.com/vi/ZJHkJ7x8hjY/maxresdefault.jpg,https://www.youtube.com/watch?v=ZJHkJ7x8hjY,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
719,5 Küçük Maymun - Bebekler ve Çocuklar için Eğlenceli Şarkılar,https://i.ytimg.com/vi/0tOE7Rd_t9Q/maxresdefault.jpg,https://www.youtube.com/watch?v=0tOE7Rd_t9Q,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
749,5 Küçük Meyve Yatakta Zıplamış - Bebekler ve Çocuklar için Eğlenceli Dans Şarkısı,https://i.ytimg.com/vi/DOCmZ6Ie6SE/maxresdefault.jpg,https://www.youtube.com/watch?v=DOCmZ6Ie6SE,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1383,5 Küçük Ördek ile Sayıları Öğreniyorum (YENİ) Sevimli Dostlar Bebek Şarkıları | Çocuk Şarkıları,https://i.ytimg.com/vi/iYxbw07ce08/maxresdefault.jpg,https://www.youtube.com/watch?v=iYxbw07ce08,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1378,5 Küçük Ördek ile Sayıları Öğreniyorum 🦆 | Sevimli Dostlar Bebek Şarkıları | Çocuk Şarkıları 2023,https://i.ytimg.com/vi/aB1dbCNyeFE/maxresdefault.jpg,https://www.youtube.com/watch?v=aB1dbCNyeFE,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
30,5 KÜÇÜK ÖRDEK ŞARKISI,https://i.ytimg.com/vi/fJn3DKrJVEA/maxresdefault.jpg,https://www.youtube.com/watch?v=fJn3DKrJVEA,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
2191,5 Küçük Ördek Şarkısı - Kırmızı Araba Nerdesin ? - Kiraz Adam - Horozumu Kaçırdılar - Çizgi Film,https://i.ytimg.com/vi/OCoRQ8_JX_I/maxresdefault.jpg,https://www.youtube.com/watch?v=OCoRQ8_JX_I,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
720,5 Küçük Tavuk Badi Badi Yürüyerek - Bebekler ve Çocuklar için Eğlenceli Şarkılar,https://i.ytimg.com/vi/RpYzIztVKBI/maxresdefault.jpg,https://www.youtube.com/watch?v=RpYzIztVKBI,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1693,64 Kare Ülkesi | Cesur Filler Şarkısı,https://i.ytimg.com/vi/eTww-_qR2Nw/maxresdefault.jpg,https://www.youtube.com/watch?v=eTww-_qR2Nw,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1702,64 Kare Ülkesi | İki Güçlü Kale Şarkısı,https://i.ytimg.com/vi/HoRorAIaN9s/maxresdefault.jpg,https://www.youtube.com/watch?v=HoRorAIaN9s,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1694,64 Kare Ülkesi | Minik Piyonlar Şarkısı,https://i.ytimg.com/vi/Q0XWb5uyJ4Y/maxresdefault.jpg,https://www.youtube.com/watch?v=Q0XWb5uyJ4Y,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1699,64 Kare Ülkesi | vezirler Şarkısı,https://i.ytimg.com/vi/hPidfjb-WSc/maxresdefault.jpg,https://www.youtube.com/watch?v=hPidfjb-WSc,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1683,64 Kare Ülkesi Şarkıları,https://i.ytimg.com/vi/STvoGbt_l-8/maxresdefault.jpg,https://www.youtube.com/watch?v=STvoGbt_l-8,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
1401,A Harfi ( YENİ ) ABC Alfabe 📚 | Bebek Şarkıları 2023 | Çocuk Şarkıları 2023 | Sevimli Dostlar,https://i.ytimg.com/vi/Q3sLMOsDEXM/maxresdefault.jpg,https://www.youtube.com/watch?v=Q3sLMOsDEXM,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
